Store,Dept,Date,Weekly_Sales,IsHoliday
18,87,2012-05-18,18989.51,False
25,9,2010-11-26,22190.52,True
27,24,2010-12-03,11429.31,False
37,83,2010-12-24,3020.55,False
33,83,2011-04-15,3601.58,False
44,56,2011-08-12,2.0,False
13,93,2011-05-20,50612.07,False
26,67,2010-10-01,5561.77,False
34,95,2011-12-30,57474.0,True
29,21,2011-10-07,3702.62,False
19,42,2012-10-05,7742.99,False
40,13,2010-10-15,23035.83,False
4,30,2012-06-01,7373.74,False
35,24,2011-10-07,9299.21,False
9,29,2012-05-11,2021.81,False
4,56,2010-06-11,4777.09,False
41,13,2011-12-02,30043.27,False
24,37,2011-12-30,2936.19,True
36,87,2011-04-22,165.0,False
19,23,2010-02-19,25698.04,False
17,96,2012-06-01,884.52,False
45,97,2011-05-13,7720.41,False
3,5,2010-08-27,4945.21,False
6,55,2011-08-19,12197.61,False
13,85,2011-09-23,4605.11,False
42,38,2011-08-05,31893.67,False
16,67,2010-07-09,2907.59,False
18,38,2010-11-19,69554.26,False
22,82,2010-05-07,14100.76,False
41,1,2011-05-27,17880.0,False
7,4,2012-05-25,14117.11,False
36,97,2012-09-28,4737.7,False
7,35,2011-02-18,316.5,False
8,56,2012-06-08,8140.45,False
7,98,2010-12-31,37.5,True
40,90,2011-05-27,59235.24,False
7,44,2010-02-12,4915.96,True
21,94,2010-06-04,3.24,False
35,6,2012-03-30,2403.44,False
20,79,2012-01-27,34791.86,False
29,85,2012-06-01,1733.2,False
35,54,2011-06-03,232.04,False
37,67,2011-10-07,2030.36,False
35,47,2010-05-14,0.0,False
10,80,2011-03-11,165.84,False
39,38,2012-10-05,46183.2,False
45,98,2011-05-06,669.07,False
12,9,2012-06-15,28032.76,False
37,6,2011-06-17,56.99,False
23,55,2010-05-07,14719.04,False
32,56,2011-11-11,684.47,False
44,23,2011-10-07,10.67,False
44,21,2011-02-04,595.28,False
31,98,2011-12-02,9591.64,False
28,42,2011-03-25,6772.63,False
42,42,2011-11-11,195.77,False
12,92,2012-02-24,29246.72,False
10,27,2011-09-02,2804.85,False
33,14,2011-06-10,1111.38,False
2,94,2012-10-26,71138.52,False
31,27,2010-08-20,1149.41,False
31,46,2012-05-18,29296.79,False
7,45,2011-12-30,21.91,True
30,98,2011-02-25,2618.71,False
32,92,2011-06-10,97694.0,False
8,4,2012-05-04,22699.55,False
44,82,2010-07-30,3087.09,False
27,24,2011-03-18,5969.53,False
36,79,2011-06-17,14884.32,False
20,34,2010-10-29,19714.0,False
13,27,2011-08-26,2837.65,False
35,28,2012-10-19,1208.56,False
19,24,2011-07-01,4985.24,False
19,12,2010-09-10,8198.84,True
35,23,2011-09-16,29951.19,False
39,93,2012-03-02,37412.2,False
20,26,2011-02-04,12976.77,False
40,56,2011-06-24,5244.58,False
10,23,2010-08-06,74741.75,False
11,13,2011-05-13,37247.34,False
12,31,2011-11-18,2469.34,False
38,46,2010-05-14,5543.14,False
17,17,2012-07-13,9192.25,False
21,29,2011-09-23,4147.87,False
38,3,2012-02-03,586.98,False
41,42,2011-06-17,5804.66,False
14,94,2010-06-04,88259.5,False
5,18,2010-02-26,182.79,False
6,52,2010-06-04,3326.41,False
43,10,2011-08-05,307.29,False
24,92,2011-10-07,147637.35,False
37,9,2010-03-19,63.15,False
17,81,2011-02-04,13987.33,False
45,34,2011-09-09,14462.34,True
13,27,2011-07-22,2188.1,False
44,80,2011-09-09,5316.42,True
44,20,2010-09-03,20.0,False
23,2,2012-09-07,79022.61,True
41,42,2011-04-29,5014.99,False
45,49,2011-07-15,11.88,False
3,26,2011-07-08,2098.18,False
10,38,2011-03-25,82024.98,False
42,94,2011-09-30,31967.46,False
1,17,2011-10-21,7547.77,False
41,92,2010-10-08,114865.92,False
43,4,2010-09-10,21932.39,True
34,83,2010-07-16,2486.21,False
18,8,2011-09-16,29586.94,False
12,12,2011-08-26,4417.24,False
13,50,2012-04-06,3473.0,False
37,4,2010-12-17,18422.63,False
26,29,2011-06-24,2718.38,False
18,20,2011-04-22,8827.74,False
21,40,2010-06-18,40357.46,False
9,29,2011-07-08,1801.38,False
14,18,2011-02-18,18337.07,False
35,90,2012-01-13,12217.03,False
20,46,2011-04-08,31426.44,False
39,35,2010-12-10,2522.0,False
27,50,2012-07-06,2643.0,False
2,71,2010-05-14,4284.44,False
7,81,2010-09-24,4762.15,False
12,44,2011-05-27,5832.26,False
33,82,2011-04-08,3215.85,False
17,48,2012-01-06,527.3,False
8,2,2012-03-09,40240.17,False
15,23,2010-03-26,20210.65,False
45,14,2012-04-27,10629.67,False
8,11,2010-09-03,16580.52,False
12,20,2011-03-18,7759.72,False
8,54,2012-06-01,70.84,False
45,90,2011-10-28,24450.08,False
18,90,2010-08-27,14506.44,False
7,40,2012-07-20,37555.92,False
5,1,2011-12-16,15344.65,False
12,80,2012-10-12,139.99,False
14,22,2011-08-05,19570.45,False
37,6,2010-10-22,19.5,False
23,29,2010-12-24,24925.42,False
31,34,2011-07-29,14056.97,False
40,59,2011-08-19,43.33,False
19,55,2012-05-25,5447.56,False
12,1,2011-05-27,11502.03,False
3,29,2011-10-07,1253.25,False
28,40,2011-12-09,48096.9,False
28,71,2012-10-19,3881.74,False
39,9,2011-08-12,19188.13,False
42,40,2011-09-16,18458.75,False
10,30,2012-09-28,8294.96,False
31,92,2012-08-24,122904.34,False
32,45,2010-05-14,-15.96,False
20,41,2011-08-05,5753.88,False
37,25,2012-02-24,59.82,False
30,90,2012-06-15,35547.87,False
30,21,2011-05-13,1800.26,False
39,46,2012-07-27,35825.85,False
3,95,2010-04-09,14267.07,False
15,67,2012-08-24,5183.74,False
44,85,2011-03-25,190.19,False
8,33,2011-11-11,4244.08,False
17,93,2010-05-28,3732.47,False
3,28,2010-06-18,99.0,False
44,5,2010-06-04,1079.86,False
10,6,2011-06-17,11224.46,False
41,18,2012-02-17,12894.21,False
28,82,2010-05-14,19029.66,False
8,28,2010-08-20,170.43,False
4,42,2012-06-08,10457.49,False
40,38,2011-07-01,43150.45,False
44,74,2011-12-02,315.25,False
39,11,2011-04-01,15621.36,False
39,10,2012-06-15,19125.74,False
8,9,2011-04-29,11544.54,False
36,90,2010-10-15,42344.24,False
22,74,2011-07-15,17730.37,False
17,16,2010-02-12,2001.37,True
17,22,2010-08-13,7148.5,False
19,10,2011-12-30,33888.07,True
37,1,2010-04-16,8271.23,False
25,94,2012-08-31,4871.47,False
21,40,2011-12-30,35247.61,True
27,56,2011-05-20,13292.7,False
1,54,2010-08-13,123.0,False
36,25,2012-04-27,2.96,False
44,17,2011-02-04,263.31,False
1,98,2011-08-12,11003.31,False
45,21,2011-06-17,4000.98,False
20,72,2010-07-16,70498.39,False
6,38,2010-04-16,99420.3,False
43,95,2010-02-12,76272.76,True
27,34,2010-03-19,28360.0,False
22,71,2010-11-12,5217.8,False
4,20,2011-03-25,9113.92,False
9,25,2010-10-08,5044.05,False
34,6,2010-10-01,2536.74,False
13,1,2011-09-09,33124.95,True
2,96,2012-01-27,27820.39,False
13,18,2010-09-10,334.0,True
34,36,2011-10-07,365.58,False
9,55,2010-07-16,6867.54,False
23,96,2011-10-21,14390.26,False
24,23,2012-02-10,22949.12,True
19,60,2012-06-22,495.0,False
23,83,2011-09-09,948.46,True
35,95,2010-08-27,43088.99,False
31,29,2010-02-26,4114.7,False
16,55,2010-08-06,5723.14,False
1,8,2012-10-12,37248.47,False
42,52,2011-10-14,26.41,False
39,85,2010-12-10,3605.79,False
7,3,2011-02-11,6780.66,True
17,6,2011-03-18,4888.18,False
23,12,2012-10-05,4825.06,False
28,14,2011-01-14,13275.73,False
24,16,2010-10-08,7870.67,False
14,91,2010-08-13,98118.27,False
45,10,2012-08-31,13393.43,False
25,21,2010-08-06,5658.14,False
17,34,2010-08-13,9377.0,False
5,71,2010-10-22,299.42,False
33,12,2010-12-17,10.17,False
1,79,2011-07-15,29505.12,False
5,32,2010-04-16,1948.33,False
30,52,2012-04-13,21.66,False
24,56,2012-07-06,3834.52,False
24,54,2011-01-21,-13.2,False
21,81,2012-10-26,6087.83,False
7,3,2010-07-23,8240.91,False
1,98,2012-05-25,12080.85,False
14,35,2010-05-07,6230.0,False
1,80,2010-06-18,15898.96,False
1,38,2012-05-25,76300.01,False
6,25,2011-03-18,15571.86,False
34,46,2011-02-18,19824.01,False
11,7,2012-07-13,29194.13,False
9,91,2011-11-25,919.94,True
41,46,2012-03-09,30808.68,False
8,7,2010-05-14,12098.34,False
34,55,2011-04-08,8105.68,False
23,24,2011-01-07,6003.53,False
27,58,2010-06-11,3591.0,False
19,55,2011-10-14,8617.56,False
3,3,2011-12-09,5108.42,False
7,20,2010-09-17,3142.65,False
30,40,2011-02-18,24674.67,False
39,7,2012-05-11,36381.72,False
24,27,2010-09-24,1545.56,False
32,16,2011-11-25,4358.51,True
21,31,2010-09-03,4044.14,False
26,19,2012-03-09,1643.39,False
10,83,2011-06-24,276.38,False
11,34,2011-05-20,22375.5,False
8,7,2011-10-21,18569.71,False
32,36,2012-02-24,2728.38,False
41,7,2010-11-05,19134.67,False
29,24,2012-10-05,4931.89,False
25,13,2010-03-19,24710.35,False
41,2,2011-04-01,47137.55,False
20,55,2012-10-12,14914.57,False
23,79,2010-05-07,27632.65,False
28,85,2010-08-13,1539.88,False
35,74,2011-08-05,25141.99,False
4,6,2012-05-18,12459.63,False
22,20,2012-05-04,5811.28,False
23,48,2011-09-02,197.0,False
14,97,2011-11-11,24953.31,False
14,34,2012-10-12,25398.25,False
5,42,2010-09-03,2787.2,False
21,6,2010-03-05,4672.24,False
17,7,2011-08-05,16356.81,False
2,95,2011-08-26,147167.55,False
10,33,2011-12-09,28949.52,False
9,5,2012-09-28,22562.63,False
35,87,2012-01-20,8390.35,False
6,14,2012-10-05,21331.2,False
44,14,2011-02-04,591.44,False
8,59,2012-07-20,67.56,False
39,58,2010-05-07,1865.0,False
20,47,2010-05-07,-39.0,False
25,33,2011-07-15,2284.04,False
19,29,2011-04-08,4823.86,False
34,90,2012-08-31,43521.38,False
40,12,2011-05-13,4804.37,False
20,12,2010-02-12,4636.7,True
37,27,2012-09-07,19.51,True
32,35,2012-10-19,1521.52,False
3,52,2010-06-25,1564.85,False
30,98,2012-07-20,2897.76,False
2,32,2010-03-26,8170.73,False
19,50,2010-10-08,753.0,False
44,81,2011-10-28,7077.54,False
29,32,2010-08-06,3907.68,False
6,52,2012-04-13,3693.16,False
37,80,2010-11-26,8085.18,True
2,44,2012-06-29,4303.83,False
13,79,2010-04-23,48336.19,False
45,38,2012-01-27,56173.04,False
7,36,2012-10-26,1146.24,False
41,48,2011-11-04,977.0,False
1,41,2011-06-17,813.5,False
43,79,2010-12-03,15299.0,False
2,41,2012-08-10,1901.14,False
6,54,2010-06-25,551.0,False
6,13,2011-03-18,37892.44,False
23,52,2010-04-09,3720.79,False
22,31,2010-02-05,2249.5,False
14,2,2011-11-04,77372.95,False
40,27,2012-06-22,738.49,False
21,26,2011-05-27,9643.25,False
39,28,2011-03-04,798.26,False
12,81,2011-10-07,7434.05,False
38,40,2012-05-11,17135.28,False
21,40,2010-06-25,38507.08,False
7,14,2010-04-16,6533.02,False
15,23,2011-12-30,20062.44,True
43,46,2012-09-07,6323.09,True
26,97,2010-04-09,15112.76,False
1,56,2011-04-29,7348.17,False
25,55,2010-10-29,5977.87,False
20,56,2012-09-21,3598.11,False
26,52,2012-02-24,1548.83,False
40,38,2012-05-18,29186.19,False
4,12,2010-12-10,6719.42,False
16,40,2012-04-13,27997.92,False
18,24,2011-12-09,12254.74,False
10,5,2012-02-10,72282.41,True
23,82,2011-10-28,22599.65,False
12,27,2011-06-24,1675.88,False
42,91,2010-09-24,38699.38,False
29,46,2012-03-30,12133.86,False
8,18,2010-06-25,1.5,False
9,67,2011-01-07,2097.64,False
20,95,2011-02-25,133175.06,False
4,38,2012-03-02,85754.8,False
32,91,2010-10-29,46130.19,False
27,23,2012-06-29,43899.15,False
33,18,2011-11-04,58.0,False
40,5,2010-11-05,17480.06,False
42,87,2012-07-27,1424.88,False
34,21,2010-12-24,8396.64,False
16,91,2011-05-20,1238.02,False
18,26,2010-02-19,11253.15,False
33,22,2011-09-16,22.5,False
6,3,2011-01-21,14042.28,False
21,56,2011-12-02,3806.96,False
45,30,2011-07-29,2631.46,False
33,8,2010-06-18,2888.35,False
35,9,2011-10-07,9510.87,False
7,48,2012-07-27,5081.0,False
31,26,2012-06-22,6022.98,False
13,80,2012-07-06,22104.66,False
43,14,2012-05-18,1585.39,False
12,11,2010-09-03,16942.21,False
25,41,2012-06-15,1701.49,False
41,32,2010-05-21,4276.58,False
40,38,2011-04-22,36773.17,False
16,90,2010-05-07,4432.95,False
12,38,2011-04-29,54231.62,False
15,97,2010-12-31,1504.3,True
10,60,2011-04-15,147.8,False
10,6,2010-08-13,8793.9,False
40,79,2011-06-03,14129.15,False
16,19,2010-05-07,1509.9,False
28,44,2012-08-10,4163.41,False
1,16,2010-02-05,10217.55,False
30,83,2010-10-08,1581.38,False
42,14,2011-12-30,1569.21,True
19,30,2011-02-18,4862.94,False
29,93,2012-02-17,1018.08,False
6,35,2011-04-08,3545.76,False
10,1,2011-03-18,30524.73,False
24,83,2012-09-21,3714.2,False
6,93,2012-03-30,37624.63,False
42,96,2012-02-24,17052.69,False
31,7,2010-12-24,167602.16,False
17,33,2011-06-24,4005.77,False
14,54,2010-08-20,148.0,False
12,80,2012-01-20,34.1,False
42,8,2011-11-18,19374.54,False
23,1,2011-02-25,21667.28,False
32,19,2011-09-30,1732.39,False
24,51,2011-06-03,1.5,False
25,23,2010-12-03,21537.25,False
29,1,2010-07-30,10819.08,False
45,87,2010-10-08,5147.76,False
25,90,2010-06-25,11143.97,False
8,14,2012-07-13,9028.76,False
39,11,2012-06-08,22797.82,False
44,93,2011-03-04,10198.57,False
20,28,2010-08-06,666.6,False
30,1,2010-04-30,9503.51,False
29,25,2010-07-30,6351.75,False
39,95,2010-10-22,95833.74,False
21,27,2011-01-07,1867.09,False
40,29,2010-08-06,4280.89,False
44,97,2012-08-24,7715.0,False
39,23,2011-11-25,25008.08,True
9,85,2012-10-26,593.69,False
41,71,2011-07-29,7256.26,False
9,91,2010-08-20,1073.68,False
35,41,2010-06-25,2606.0,False
4,8,2012-05-11,60168.16,False
40,24,2011-11-04,3581.32,False
12,1,2012-09-21,13090.69,False
43,92,2012-08-31,70999.86,False
14,92,2011-03-11,191167.3,False
31,8,2012-05-25,26497.77,False
43,81,2012-08-17,19488.2,False
38,80,2010-07-23,9993.4,False
16,14,2012-07-27,7689.56,False
19,9,2010-10-29,28299.3,False
32,2,2011-08-12,53254.42,False
34,74,2010-12-31,9946.52,True
28,71,2011-06-24,4776.55,False
22,29,2011-02-18,9997.27,False
21,27,2012-10-05,1349.43,False
3,23,2010-11-05,10982.79,False
20,71,2011-09-09,7519.81,True
19,83,2010-12-10,4997.88,False
12,93,2011-03-25,531.84,False
28,11,2011-08-26,12098.96,False
35,8,2010-10-22,18472.05,False
43,67,2010-11-19,954.55,False
1,29,2010-09-17,3959.42,False
34,1,2011-08-12,14429.82,False
44,81,2012-04-13,7059.27,False
14,51,2010-08-06,106.24,False
35,7,2011-12-16,93009.97,False
8,56,2012-08-17,1344.31,False
6,91,2012-08-31,43735.29,False
16,87,2010-06-25,7554.11,False
20,4,2010-10-08,52325.28,False
19,96,2011-01-21,10416.48,False
7,54,2010-02-05,215.0,False
38,32,2012-04-06,67.88,False
24,3,2010-04-23,8738.36,False
25,9,2012-04-20,19471.76,False
10,54,2010-11-05,183.68,False
21,16,2010-08-13,5476.7,False
29,79,2012-06-29,8519.46,False
23,30,2011-02-11,8269.44,True
5,26,2011-08-12,1412.97,False
6,12,2011-01-14,4462.03,False
20,71,2012-07-13,5102.2,False
2,38,2010-06-11,87577.92,False
19,41,2010-04-30,1385.0,False
32,80,2010-06-04,15691.91,False
12,95,2011-02-18,39393.25,False
23,33,2011-09-30,9629.57,False
17,95,2010-08-20,44705.31,False
24,30,2012-08-10,4940.08,False
34,95,2011-09-16,71682.58,False
19,81,2011-01-07,20667.24,False
21,6,2011-12-23,9623.29,False
29,24,2012-10-19,5589.94,False
29,5,2012-02-24,10514.98,False
23,40,2012-07-13,64178.22,False
41,85,2010-05-14,2051.78,False
45,29,2012-03-02,4700.12,False
7,9,2010-06-11,31933.93,False
25,12,2011-06-03,4076.38,False
44,3,2012-01-13,610.09,False
7,17,2012-04-06,4566.78,False
14,92,2010-02-19,192282.19,False
39,87,2011-01-28,5372.37,False
43,83,2012-02-03,5152.92,False
31,8,2012-06-01,24760.96,False
4,82,2011-01-21,22991.72,False
37,6,2010-04-16,46.4,False
11,83,2012-03-09,4445.76,False
35,16,2012-03-16,3357.12,False
27,25,2012-01-13,8158.29,False
22,87,2011-09-30,14514.3,False
8,27,2012-03-30,768.47,False
30,22,2012-02-17,12.88,False
2,18,2011-03-11,3.4,False
7,14,2011-04-01,8519.32,False
8,37,2011-10-07,2520.19,False
6,99,2012-05-04,240.0,False
14,34,2012-09-14,18391.51,False
16,36,2012-06-15,2225.5,False
33,87,2012-06-01,324.64,False
11,71,2011-01-28,6326.34,False
21,72,2011-07-22,39446.83,False
16,38,2011-05-13,44612.34,False
11,83,2011-01-14,4255.69,False
19,42,2010-12-31,5421.22,True
33,7,2011-06-24,1049.88,False
27,5,2010-03-19,39531.05,False
17,35,2011-01-07,1501.5,False
40,22,2010-05-28,4265.66,False
42,17,2012-03-16,813.99,False
13,36,2012-05-18,2354.03,False
43,83,2011-11-04,2832.65,False
21,34,2010-11-05,18734.83,False
29,30,2010-08-27,2767.84,False
32,72,2010-12-03,54822.49,False
24,38,2010-02-12,52523.29,True
4,96,2012-05-11,41427.69,False
12,92,2010-09-10,23962.37,True
24,11,2010-06-18,16945.81,False
37,72,2011-01-21,151.52,False
40,49,2011-07-22,29.7,False
5,23,2012-05-11,7075.07,False
13,45,2012-03-23,5.97,False
16,52,2012-09-14,1230.87,False
40,9,2010-10-01,18323.68,False
4,72,2010-10-01,70176.64,False
45,82,2011-03-18,11650.82,False
31,46,2012-06-22,28154.76,False
10,35,2011-02-25,9907.67,False
19,93,2012-09-07,44678.84,True
2,32,2012-05-25,11064.11,False
29,22,2011-12-02,5466.69,False
20,87,2012-07-13,46957.33,False
18,22,2011-04-29,13017.78,False
5,79,2010-02-12,5430.96,True
23,32,2010-07-02,12255.09,False
12,14,2011-01-28,17860.18,False
15,52,2012-06-15,1393.2,False
22,33,2012-04-27,4793.06,False
36,3,2011-12-02,252.18,False
24,71,2010-05-28,3411.54,False
3,82,2011-07-08,5766.17,False
40,92,2012-01-06,120644.54,False
34,24,2010-03-26,2174.5,False
22,72,2011-11-25,345532.23,True
7,1,2011-12-09,11930.02,False
15,42,2010-08-20,3771.03,False
4,28,2011-03-11,1257.05,False
15,36,2010-09-03,642.0,False
1,82,2010-08-27,16038.14,False
26,28,2010-07-23,306.68,False
26,20,2012-03-02,3332.16,False
24,30,2010-11-12,3230.96,False
34,13,2012-07-06,24947.86,False
40,25,2011-05-06,7575.93,False
3,21,2011-12-23,1741.54,False
24,33,2012-03-09,5163.13,False
23,24,2010-04-16,9726.05,False
37,28,2010-09-03,114.8,False
8,18,2011-02-18,12492.55,False
24,37,2010-12-17,3458.79,False
44,21,2012-04-20,932.9,False
13,91,2011-04-08,81744.03,False
21,35,2010-05-14,3775.0,False
13,97,2011-12-09,27009.9,False
8,16,2012-03-09,16261.38,False
23,72,2010-11-05,67119.46,False
6,18,2010-09-17,1669.19,False
27,7,2010-03-12,28746.59,False
15,16,2011-06-17,34019.71,False
10,54,2012-03-23,52.68,False
24,30,2011-11-25,2839.07,True
9,95,2010-09-03,29196.19,False
23,58,2011-02-18,3142.0,False
3,6,2012-04-20,999.92,False
19,72,2010-03-19,64416.92,False
17,44,2010-07-02,7019.4,False
13,38,2012-03-30,94936.44,False
10,6,2011-06-03,9621.9,False
2,97,2010-09-03,42644.18,False
16,49,2011-09-02,59.4,False
39,94,2010-09-03,59822.54,False
7,6,2012-04-06,6293.4,False
40,67,2010-06-25,8911.87,False
40,81,2010-07-16,19382.32,False
41,27,2012-04-06,1494.37,False
2,52,2010-11-12,4611.72,False
5,79,2010-02-05,5677.51,False
11,24,2010-12-03,11366.15,False
15,30,2011-04-22,2836.28,False
6,13,2010-10-08,39066.01,False
40,10,2010-10-08,21112.73,False
43,90,2010-03-12,63394.3,False
37,83,2012-05-11,1806.84,False
17,26,2010-08-20,6555.58,False
25,97,2010-12-17,3373.03,False
5,33,2011-11-11,1421.87,False
14,80,2010-08-06,40137.87,False
29,4,2010-12-03,13677.99,False
21,11,2011-07-01,16934.21,False
31,80,2011-05-06,21199.52,False
31,79,2012-03-30,30744.44,False
1,80,2011-05-27,16729.47,False
18,56,2012-08-24,1972.2,False
39,10,2010-12-31,10777.27,True
8,97,2010-08-27,16495.76,False
43,60,2011-04-08,677.6,False
35,95,2010-05-14,54457.49,False
4,19,2010-07-16,3354.69,False
27,11,2011-09-30,16763.78,False
41,93,2012-06-08,42163.37,False
11,19,2011-10-07,1963.07,False
31,8,2012-03-23,24352.47,False
40,31,2010-10-22,1461.0,False
2,90,2011-06-17,95435.7,False
20,92,2011-07-15,169013.07,False
34,65,2012-03-23,47852.85,False
21,1,2011-02-11,21673.9,True
21,41,2010-02-26,1691.0,False
18,94,2012-08-10,7253.55,False
10,48,2011-02-25,2500.0,False
7,24,2012-09-21,1567.91,False
13,71,2011-03-11,9044.42,False
16,46,2011-03-04,14570.54,False
39,33,2010-10-08,6813.72,False
7,40,2012-04-13,29147.7,False
10,36,2010-02-19,2866.0,False
9,56,2010-03-12,3152.92,False
4,34,2011-11-04,25194.49,False
12,71,2010-03-12,10512.04,False
20,55,2011-07-08,11798.61,False
32,31,2011-10-14,2769.01,False
7,96,2012-08-03,1767.83,False
41,80,2011-04-01,17069.33,False
24,87,2011-10-21,26259.58,False
42,32,2010-10-15,37.0,False
26,22,2010-07-02,5483.78,False
15,90,2010-06-18,4780.79,False
34,80,2012-07-27,11444.82,False
23,12,2012-06-01,7665.83,False
10,82,2012-08-17,23354.73,False
42,91,2011-08-05,47975.39,False
41,1,2011-01-14,14277.24,False
33,97,2010-10-29,4409.12,False
14,79,2010-04-16,42629.0,False
8,12,2010-03-26,6267.65,False
13,49,2011-12-02,7580.26,False
35,38,2011-10-14,36293.24,False
18,21,2011-12-30,4498.82,True
38,94,2010-11-19,17295.89,False
24,21,2010-12-03,5681.22,False
43,46,2011-06-03,8997.19,False
3,8,2012-02-03,8920.87,False
41,49,2010-10-15,4593.81,False
23,83,2012-06-22,1016.6,False
2,82,2011-10-14,21217.69,False
5,28,2011-06-24,118.73,False
6,44,2011-08-05,6210.06,False
45,9,2010-10-08,10825.48,False
17,71,2010-04-09,3605.08,False
17,23,2012-08-03,15035.48,False
13,8,2012-06-08,37023.0,False
27,20,2011-05-27,10589.25,False
17,41,2012-02-03,-36.0,False
35,56,2010-11-19,146.5,False
17,35,2011-07-29,1927.58,False
15,13,2010-04-16,21511.97,False
7,5,2010-08-20,11634.58,False
16,5,2012-03-23,14051.68,False
14,29,2010-11-12,11813.75,False
12,7,2010-03-26,27086.38,False
31,35,2012-03-02,1268.29,False
21,19,2011-10-07,1756.67,False
44,79,2010-05-21,4593.52,False
29,25,2010-11-05,7238.25,False
20,94,2011-07-22,65825.92,False
6,14,2012-04-27,24603.03,False
3,35,2012-08-31,909.78,False
1,9,2010-12-10,26639.65,False
34,38,2011-04-29,46009.17,False
16,9,2011-01-28,8332.9,False
40,72,2011-03-25,41785.14,False
36,44,2010-04-23,7.44,False
42,80,2010-05-28,14790.52,False
35,52,2011-04-29,1658.27,False
38,21,2012-07-06,1080.07,False
24,42,2011-10-28,6466.18,False
2,22,2010-08-06,11055.39,False
39,87,2010-10-29,5383.42,False
10,27,2012-06-01,3055.04,False
7,95,2012-01-27,38091.56,False
26,19,2011-06-24,849.48,False
3,56,2011-07-29,355.38,False
5,60,2011-01-21,325.6,False
10,7,2010-02-26,49807.58,False
2,22,2012-07-06,11857.31,False
4,74,2012-02-24,24655.73,False
